Name,Characteristic,Colour,Occurences,CK,Kat,Priya,Tony,Zack
Kiss,teardrop shape,,16,1,7,3,5,0
Red candy,short,,6,2,1,0,1,2
Red long candy,long,,10,5,0,0,1,4
White-coloured round,ellipsoid,white-blue,2,0,1,0,0,0
White-coloured round,ellipsoid,white-red,1,0,0,0,0,1
Mike ike,elongated rounded,yellow,27,8,2,7,3,7
Mike ike,elongated rounded,orange,34,6,5,4,10,9
Mike ike,elongated rounded,pink,38,10,7,7,8,6
Mike ike,elongated rounded,red,37,11,4,9,6,6
Mike ike,elongated rounded,green,36,13,3,7,7,6
Watermelon,rectangular,,1,0,1,0,0,0
Gummy bear,"clear, bear shape",red,15,3,6,0,3,3
Gummy bear,"clear, bear shape",orange,15,2,3,4,2,4
Gummy bear,"clear, bear shape",yellow,17,4,8,2,1,2
Gummy bear,"clear, bear shape",green,19,6,7,1,3,2
Gummy bear,"clear, bear shape",light white,16,4,4,2,3,3
Gummy bear,"clear, bear shape",dark orange,17,2,3,4,6,2
Marshmallow gummy,"opaque, bear shape",red,1,0,1,0,0,0
Marshmallow gummy,"opaque, bear shape",pink,1,0,0,1,0,0
Marshmallow gummy,"opaque, bear shape",yellow,1,1,0,0,0,0
Lego square,big square rectangle,blue,1,0,1,0,0,0
Lego square,big square rectangle,yellow,1,0,0,0,1,0
Lego square,big square rectangle,red,1,0,1,0,0,0
Lego,small rectangle,green,2,0,0,1,0,1
Lego,small rectangle,blue,3,0,2,0,1,0
Lego,small rectangle,yellow,4,1,2,0,1,0
Lego,small rectangle,red,6,1,0,1,0,4
Coke,coke bottle shape,,3,2,1,0,0,0
Spider,spider shape,,6,1,2,0,1,2
Big round candy,round,brown,3,0,0,3,0,0
Big round candy,round,yellow,4,0,1,0,1,2
Big round candy,round,orange,5,1,1,0,0,2
Big round candy,round,green,5,1,0,1,1,2
Big round candy,round,red,7,3,3,0,1,0
Skittle,ellipsoid,yellow,33,4,4,10,9,6
Skittle,ellipsoid,orange,40,12,6,8,4,10
Skittle,ellipsoid,red,33,9,6,6,5,7
Skittle,ellipsoid,green,44,10,4,14,7,9
Skittle,ellipsoid,brown,37,9,2,15,6,8
M&M,round flattened,red,29,4,3,7,5,10
M&M,round flattened,yellow,33,6,3,15,4,5
M&M,round flattened,brown,32,8,3,5,6,7
M&M,round flattened,blue,62,9,1,18,17,17
M&M,round flattened,orange,60,9,8,19,13,11
M&M,round flattened,green,27,8,1,11,3,4
Fish,fish shape,,1,0,0,0,1,0
Elongated weird noodle,noodle shape,yellow,3,1,1,1,0,0
Elongated weird noodle,noodle shape,red,1,0,0,1,0,0
Elongated weird cloud,long cloud shape,red,1,1,0,0,0,0
Elongated weird cloud,long cloud shape,brown,1,0,1,0,0,0
Elongated weird cloud,long cloud shape,orange,1,0,0,0,1,0
Elongated weird oval,oval,yellow,1,0,0,0,0,1
Elongated weird diamond,diamond,yellow,1,1,0,0,0,0
